loan_id,borrower_id,application_date,branch,county,age,employment_type,monthly_income_kes,membership_years,savings_balance_kes,loan_product,loan_amount_kes,loan_term_months,monthly_repayment_kes,other_monthly_debt_kes,debt_to_income_ratio,loan_to_savings_ratio,previous_loans,previous_defaults,previous_late_payments,avg_monthly_inflows_kes,avg_monthly_outflows_kes,mobile_money_active_months,utility_payment_consistency,income_consistency_score,days_overdue,late_payment_count_current,repayment_ratio,loan_status,default,generated_default_probability,risk_category
5004643,104643,2024-01-02,Meru,Kisumu,36,Casual,34600,12,171800,Business,169100,24,8300,2700,0.318,0.984,10,0,0,45200,29400,109,1.0,0.714,4,0,0.978,Current,0,0.0058,Low
5024483,124483,2024-01-02,Embu,Kisumu,33,Salaried,93400,5,197900,Emergency,252400,3,96700,10200,1.145,1.275,2,1,0,125100,84600,57,0.912,0.566,56,4,0.623,Defaulted,1,0.0813,Low
5041642,141642,2024-01-02,Nairobi CBD,Kiambu,43,Self-Employed,24600,6,107500,Agriculture,124700,18,7600,1800,0.382,1.16,6,0,0,23900,22600,52,1.0,0.909,0,0,0.899,Current,0,0.0139,Low
5048426,148426,2024-01-02,Nyeri,Machakos,45,Self-Employed,114800,4,144200,Business,810200,6,145100,4300,1.301,5.619,5,0,1,112600,107600,40,0.81,1.0,9,1,0.928,Late,0,0.3432,High
5017699,117699,2024-01-02,Nairobi CBD,Nairobi,36,Business Owner,71700,2,126900,Asset Finance,188000,48,4400,14900,0.269,1.481,2,0,0,75400,58400,22,0.893,0.865,11,1,0.838,Late,0,0.0316,Low
5018891,118891,2024-01-02,Meru,Kisumu,52,Salaried,72100,7,98900,Agriculture,415200,12,39900,8700,0.674,4.198,13,1,2,95000,89700,77,0.903,0.682,3,0,0.913,Late,0,0.2033,Moderate
5046056,146056,2024-01-02,Nakuru,Kiambu,58,Business Owner,71600,9,108200,Agriculture,252700,18,15100,16100,0.436,2.335,15,0,2,83600,67200,85,0.764,0.708,1,0,0.936,Late,0,0.0137,Low
5025290,125290,2024-01-02,Mombasa,Kiambu,44,Self-Employed,53200,4,83600,Agriculture,367800,6,66500,6000,1.363,4.4,4,0,0,71300,51100,36,0.761,0.867,81,0,0.429,Restructured,1,0.2912,High
5025991,125991,2024-01-02,Kisumu,Other,38,Casual,23000,5,89700,Business,113500,6,21300,7800,1.265,1.265,9,0,0,28200,20500,41,0.651,0.64,12,0,0.893,Late,0,0.052,Low
5041257,141257,2024-01-02,Westlands,Kisumu,36,Casual,25700,6,108000,Development,179400,36,5700,1300,0.272,1.661,10,0,1,25600,19500,65,0.738,0.689,7,2,0.844,Current,0,0.0341,Low
5026727,126727,2024-01-02,Westlands,Nairobi,40,Self-Employed,29000,12,112600,Development,156600,36,4800,7900,0.438,1.391,17,0,3,26700,21200,94,0.779,1.0,2,0,0.836,Late,0,0.0046,Low
5001157,101157,2024-01-02,Nyeri,Kisumu,44,Salaried,53400,2,15700,School Fees,299300,6,60800,5000,1.232,19.064,1,0,1,58400,39200,19,0.606,0.896,68,6,0.537,Severely Delinquent,1,0.9874,Very High
5041130,141130,2024-01-02,Nyeri,Other,45,Casual,14200,1,57300,School Fees,65400,3,25800,4200,2.113,1.141,3,0,0,18400,13600,8,0.746,0.823,5,0,0.846,Late,0,0.3111,High
5021610,121610,2024-01-02,Nyeri,Meru,26,Self-Employed,60500,7,30200,Emergency,105500,6,21300,9200,0.504,3.493,8,1,0,81200,60800,74,0.771,0.741,13,1,0.953,Current,0,0.0327,Low
5030921,130921,2024-01-02,Nairobi CBD,Uasin Gishu,35,Self-Employed,108800,5,161400,Business,332300,6,62900,14600,0.712,2.059,9,0,1,98800,67100,41,1.0,0.724,10,0,0.845,Late,0,0.0381,Low
5006100,106100,2024-01-02,Eldoret,Other,39,Casual,32500,1,11900,Development,141700,24,7100,5800,0.397,11.908,0,0,0,39300,31500,11,0.671,0.427,146,4,0.623,Restructured,1,0.7733,Very High
5014703,114703,2024-01-02,Embu,Embu,35,Self-Employed,92000,3,238100,Emergency,494300,6,87600,4800,1.004,2.076,2,0,1,81700,60200,33,0.793,0.569,59,1,0.41,Restructured,1,0.0831,Low
5015639,115639,2024-01-02,Nyeri,Nairobi,34,Casual,24400,11,91100,Agriculture,148100,18,8700,3600,0.504,1.626,14,0,1,24700,20300,124,0.472,0.828,8,1,0.962,Late,0,0.0264,Low
5008366,108366,2024-01-02,Embu,Kisumu,30,Business Owner,130000,2,489900,Business,608400,24,28200,39900,0.524,1.242,4,0,1,148600,108100,20,0.756,0.708,19,0,0.827,Late,0,0.0332,Low
5036157,136157,2024-01-02,Nakuru,Nairobi,44,Salaried,61900,4,269300,Agriculture,376800,6,71000,21400,1.493,1.399,6,0,0,58600,48600,34,0.722,0.826,4,0,1.013,Late,0,0.083,Low
5008760,108760,2024-01-02,Nyeri,Meru,34,Self-Employed,115500,5,610400,Business,1000000,6,195300,28600,1.939,1.638,4,0,1,116300,103700,53,0.997,0.737,7,0,0.95,Late,0,0.088,Low
5018134,118134,2024-01-02,Westlands,Other,46,Self-Employed,23300,17,110000,Emergency,138100,12,13200,6500,0.845,1.255,25,0,1,24800,16500,180,0.568,0.402,1,0,0.867,Current,0,0.0096,Low
5032411,132411,2024-01-02,Embu,Nairobi,35,Farmer,57800,4,261600,Agriculture,538200,12,49300,6100,0.958,2.057,7,0,1,58000,53300,34,0.909,0.897,0,0,0.86,Current,0,0.1154,Moderate
5001372,101372,2024-01-02,Meru,Kiambu,34,Salaried,74100,4,330500,Emergency,472900,12,45000,6300,0.692,1.431,7,0,0,96700,94100,40,0.605,0.941,2,0,0.969,Late,0,0.0219,Low
5039357,139357,2024-01-02,Kisumu,Machakos,50,Self-Employed,35700,6,67800,Business,85800,6,17000,1400,0.515,1.265,7,1,1,32600,25900,57,0.926,0.904,9,0,0.886,Late,0,0.0525,Low
5027512,127512,2024-01-02,Thika,Uasin Gishu,21,Self-Employed,66700,8,314900,Business,237900,12,23800,19600,0.651,0.755,4,0,2,82900,67200,75,0.754,0.675,4,0,0.904,Current,0,0.0338,Low
5011486,111486,2024-01-02,Eldoret,Machakos,36,Self-Employed,56100,1,34600,Emergency,282600,3,103100,8100,1.982,8.168,1,0,0,63900,43900,12,0.9,0.657,51,1,0.613,Defaulted,1,0.684,Very High
5003780,103780,2024-01-02,Meru,Kiambu,29,Farmer,26300,3,91500,School Fees,120700,6,21900,8000,1.137,1.319,5,0,0,31300,30100,30,0.736,0.781,10,0,1.002,Late,0,0.0573,Low
5010539,110539,2024-01-02,Nakuru,Meru,32,Self-Employed,33400,6,112400,Asset Finance,247300,24,11500,6800,0.548,2.2,7,0,1,39900,37600,62,0.829,0.644,9,0,0.998,Late,0,0.0275,Low
5039233,139233,2024-01-02,Nairobi CBD,Kiambu,49,Business Owner,74100,2,299800,Development,627700,24,28900,22800,0.698,2.094,2,1,1,81500,66400,23,0.967,0.859,2,1,0.932,Current,0,0.1093,Moderate
5004262,104262,2024-01-02,Nakuru,Uasin Gishu,43,Farmer,65100,17,154600,Agriculture,160100,18,10700,3800,0.223,1.036,21,2,1,76100,71700,175,0.929,0.734,1,0,0.842,Late,0,0.0035,Low
5016176,116176,2024-01-02,Kisumu,Nyeri,37,Salaried,55000,3,200000,Emergency,205200,6,39100,17300,1.025,1.026,2,0,0,61300,42700,28,0.762,0.989,5,0,0.855,Late,0,0.042,Low
5026488,126488,2024-01-02,Kisumu,Nakuru,25,Self-Employed,36300,7,34200,Emergency,255400,3,103700,6500,2.5,7.468,7,0,0,44500,39300,83,0.814,0.751,83,2,0.736,Defaulted,1,0.3089,High
5001668,101668,2024-01-02,Mombasa,Embu,48,Farmer,36700,3,65100,Development,234700,12,22900,7100,0.817,3.605,6,0,0,36300,32300,33,0.852,1.0,3,0,0.901,Late,0,0.057,Low
5019598,119598,2024-01-02,Nairobi CBD,Kisumu,38,Self-Employed,45700,5,209000,School Fees,376400,3,148200,7400,2.5,1.801,9,0,0,50900,48800,44,0.579,0.786,11,0,0.891,Late,0,0.1957,Moderate
5034058,134058,2024-01-02,Eldoret,Kiambu,26,Salaried,67500,12,256700,School Fees,628800,6,120000,6600,1.876,2.45,10,0,0,58300,56500,138,0.883,0.873,4,1,1.019,Late,0,0.046,Low
5001688,101688,2024-01-02,Nyeri,Other,34,Self-Employed,43000,2,208600,Asset Finance,332000,36,9700,2400,0.281,1.592,4,0,3,37000,28100,18,1.0,0.629,1,2,0.871,Late,0,0.055,Low
5042401,142401,2024-01-02,Nyeri,Kakamega,27,Business Owner,142200,6,113900,Business,589200,36,19000,35400,0.383,5.173,8,1,1,189300,166800,67,0.878,0.665,4,1,0.975,Late,0,0.1206,Moderate
5006813,106813,2024-01-02,Mombasa,Other,34,Salaried,100900,9,148700,Business,481300,24,22800,26200,0.486,3.237,7,0,2,130600,87800,101,0.935,0.815,4,2,0.89,Late,0,0.0386,Low
5011454,111454,2024-01-03,Eldoret,Mombasa,35,Self-Employed,48200,8,260200,Agriculture,335000,12,32300,3200,0.737,1.287,10,0,2,41800,31900,81,1.0,0.883,20,1,0.842,Current,0,0.0173,Low
5042332,142332,2024-01-03,Thika,Nakuru,27,Business Owner,85500,4,457900,School Fees,515700,6,97800,24000,1.425,1.126,6,0,1,81300,79500,33,0.77,0.79,3,0,0.871,Current,0,0.1092,Moderate
5020554,120554,2024-01-03,Mombasa,Nairobi,21,Self-Employed,51700,2,128600,School Fees,286200,6,57600,8800,1.284,2.226,6,0,0,54600,51100,21,0.885,0.847,3,0,0.83,Current,0,0.0418,Low
5022671,122671,2024-01-03,Eldoret,Embu,32,Farmer,45600,5,50000,Development,279700,12,26300,6800,0.726,5.594,5,0,1,51200,36900,51,0.869,0.686,24,0,0.885,Late,0,0.1514,Moderate
5008387,108387,2024-01-03,Westlands,Embu,35,Farmer,47600,14,168600,Development,116400,36,3600,6000,0.202,0.69,13,1,3,42400,34000,121,1.0,0.781,7,1,0.844,Current,0,0.0085,Low
5022130,122130,2024-01-03,Thika,Kiambu,22,Self-Employed,36000,2,140200,School Fees,227200,12,22700,7400,0.836,1.621,8,0,0,44700,35000,17,1.0,0.355,9,0,0.957,Late,0,0.0676,Low
5033707,133707,2024-01-03,Nyeri,Kiambu,33,Salaried,64500,8,278600,Asset Finance,278600,24,13200,13800,0.419,1.0,13,1,0,77300,54100,91,0.89,0.782,10,0,0.916,Late,0,0.0133,Low
5045119,145119,2024-01-03,Nakuru,Machakos,42,Casual,24100,10,75400,School Fees,73000,3,27300,5500,1.361,0.968,14,0,0,23400,19700,114,0.846,0.441,0,0,0.867,Current,0,0.027,Low
5002129,102129,2024-01-03,Nyeri,Nairobi,40,Farmer,40600,9,170400,Business,194500,36,6400,8000,0.355,1.141,11,0,1,34600,32800,70,0.831,0.762,6,0,0.9,Late,0,0.0143,Low
5031719,131719,2024-01-03,Embu,Machakos,30,Salaried,61900,12,268300,Business,132300,6,25700,18700,0.717,0.493,8,0,2,59800,48900,137,0.774,0.947,3,0,0.966,Current,0,0.0021,Low
5012030,112030,2024-01-03,Nairobi CBD,Kakamega,51,Salaried,57100,3,96000,School Fees,172400,12,17100,14500,0.553,1.796,3,0,0,54800,49700,28,0.514,0.861,3,1,0.975,Late,0,0.0355,Low
5005231,105231,2024-01-03,Thika,Nairobi,42,Business Owner,81900,5,410400,School Fees,468200,12,46400,11100,0.702,1.141,9,0,0,84700,81200,51,0.647,0.54,4,1,0.857,Late,0,0.0139,Low
5006452,106452,2024-01-03,Mombasa,Machakos,38,Farmer,39300,4,116300,Emergency,236000,3,83500,11000,2.405,2.029,8,1,2,38200,30300,34,0.924,0.577,5,0,1.005,Late,0,0.3129,High
5001820,101820,2024-01-03,Nairobi CBD,Machakos,36,Self-Employed,82600,1,394200,Agriculture,275300,12,26100,15800,0.507,0.698,0,0,0,92700,67800,10,0.978,0.915,3,0,0.83,Late,0,0.0263,Low
5026049,126049,2024-01-03,Eldoret,Kiambu,32,Salaried,115800,2,151300,Emergency,222000,6,42100,20000,0.536,1.467,5,0,1,114800,96900,20,0.853,0.99,87,2,0.321,Defaulted,1,0.0376,Low
5030012,130012,2024-01-03,Westlands,Nyeri,44,Farmer,39100,11,75200,Asset Finance,144900,60,2700,11800,0.371,1.927,13,0,0,37900,33300,119,0.884,0.668,3,0,1.017,Late,0,0.0078,Low
5035212,135212,2024-01-03,Mombasa,Nairobi,48,Casual,42600,2,35700,Agriculture,182800,6,33900,3900,0.887,5.12,6,0,0,42200,32100,18,0.791,0.962,7,4,0.833,Late,0,0.3173,High
5018524,118524,2024-01-03,Eldoret,Meru,34,Farmer,20800,10,27300,Development,134500,12,12400,700,0.63,4.927,11,0,0,21700,18800,84,0.824,0.615,8,1,0.864,Late,0,0.0579,Low
5011611,111611,2024-01-03,Eldoret,Other,44,Farmer,44500,3,228900,Asset Finance,306100,48,7700,11400,0.429,1.337,4,0,0,40200,33700,31,0.925,0.76,6,0,0.939,Late,0,0.0134,Low
5040860,140860,2024-01-03,Nakuru,Nairobi,45,Business Owner,52100,7,158300,Emergency,314700,3,110700,7200,2.263,1.988,14,1,0,69800,59400,67,0.774,0.889,2,0,0.932,Late,0,0.1729,Moderate
5021444,121444,2024-01-03,Westlands,Kisumu,25,Self-Employed,76500,2,177700,Agriculture,442400,6,77900,23900,1.331,2.49,1,0,2,97000,94700,22,0.781,0.731,70,3,0.507,Defaulted,1,0.2033,Moderate
5015840,115840,2024-01-03,Nakuru,Machakos,36,Farmer,28200,6,48500,Development,71100,24,3400,8600,0.426,1.466,13,0,0,25500,20500,51,1.0,0.905,5,1,0.842,Late,0,0.0161,Low
5047805,147805,2024-01-03,Eldoret,Kiambu,45,Business Owner,66600,7,76500,Development,147000,24,6500,14900,0.321,1.922,11,0,2,64100,53300,63,0.827,0.696,1,3,0.951,Late,0,0.0261,Low
