loan_id,borrower_id,application_date,branch,county,age,employment_type,monthly_income_kes,membership_years,savings_balance_kes,loan_product,loan_amount_kes,loan_term_months,monthly_repayment_kes,other_monthly_debt_kes,debt_to_income_ratio,loan_to_savings_ratio,previous_loans,previous_defaults,previous_late_payments,avg_monthly_inflows_kes,avg_monthly_outflows_kes,mobile_money_active_months,utility_payment_consistency,income_consistency_score,days_overdue,late_payment_count_current,repayment_ratio,loan_status,default,generated_default_probability,risk_category,loan_to_income_ratio,total_debt_service_ratio,monthly_cash_flow,cash_flow_to_income_ratio,repayment_to_income_ratio,savings_to_income_ratio,repayment_ratio_group,debt_service_group,savings_ratio_group,default_probability,risk_score,risk_band
5040920,140920,2024-01-01,Nakuru,Kiambu,42,Self-Employed,58500,7,190100,Emergency,390400,12,38900,17600,0.30085470085470084,2.054,12,0,0,59800,44400,67,0.898,0.628,2,0,0.987,Late,0,0.042,Low,6.673504273504274,0.9658119658119658,15400,0.26324786324786326,0.6649572649572649,3.2495726495726496,50-70%,70-100%,300%+,0.043879232539685065,4.3879232539685065,Low Risk
5019216,119216,2024-01-01,Mombasa,Uasin Gishu,30,Salaried,74700,16,161300,Development,368700,36,12200,9900,0.13253012048192772,2.286,19,1,1,73600,66100,161,0.753,1.0,4,0,0.901,Current,0,0.0122,Low,4.93574297188755,0.2958500669344043,7500,0.10040160642570281,0.16331994645247658,2.1593038821954487,0-30%,0-30%,200-300%,0.015842711215719122,1.5842711215719123,Low Risk
5011643,111643,2024-01-01,Mombasa,Kiambu,36,Self-Employed,54800,1,199000,Business,285000,12,25300,13800,0.2518248175182482,1.432,2,1,0,51100,49300,10,0.91,0.712,4,0,0.918,Current,0,0.1587,Moderate,5.200729927007299,0.7135036496350365,1800,0.032846715328467155,0.46167883211678834,3.6313868613138687,30-50%,70-100%,300%+,0.08759698243906977,8.759698243906977,Low Risk
5030397,130397,2024-01-01,Thika,Kisumu,42,Casual,30500,10,32100,Asset Finance,83700,36,2700,2100,0.06885245901639345,2.607,16,0,2,33300,28600,102,0.607,0.872,2,0,0.956,Current,0,0.0349,Low,2.7442622950819673,0.15737704918032788,4700,0.1540983606557377,0.08852459016393442,1.0524590163934426,0-30%,0-30%,100-200%,0.02376175901955988,2.376175901955988,Low Risk
5026227,126227,2024-01-01,Embu,Mombasa,32,Farmer,103900,7,84300,Agriculture,267700,6,47900,20900,0.20115495668912417,3.176,11,1,0,117400,76400,61,0.681,0.762,3,0,0.963,Late,0,0.0669,Low,2.5765158806544757,0.6621751684311838,41000,0.3946102021174206,0.46102021174205965,0.8113570741097209,30-50%,50-70%,0-100%,0.05461333303792673,5.4613333037926735,Low Risk
5044555,144555,2024-01-01,Kisumu,Nakuru,27,Salaried,85100,4,407000,Asset Finance,689200,48,17200,26300,0.309048178613396,1.693,4,1,1,101600,92700,40,0.973,0.87,5,0,0.94,Late,0,0.1489,Moderate,8.09870740305523,0.5111633372502937,8900,0.1045828437132785,0.20211515863689777,4.782608695652174,0-30%,50-70%,300%+,0.06411558137888475,6.411558137888475,Low Risk
5037559,137559,2024-01-01,Nakuru,Embu,34,Self-Employed,71900,1,190900,Agriculture,224400,12,22700,15900,0.2211404728789986,1.175,0,0,0,85400,68100,8,0.655,0.788,7,0,0.891,Current,0,0.0703,Low,3.121001390820584,0.5368567454798331,17300,0.24061196105702365,0.3157162726008345,2.655076495132128,30-50%,50-70%,200-300%,0.040534173812344976,4.053417381234498,Low Risk
5047828,147828,2024-01-01,Nairobi CBD,Mombasa,42,Salaried,78600,6,258200,Development,453400,36,14500,9900,0.12595419847328243,1.756,8,0,0,98800,88700,54,1.0,0.87,7,0,1.008,Late,0,0.0143,Low,5.768447837150127,0.3104325699745547,10100,0.12849872773536897,0.18447837150127228,3.2849872773536894,0-30%,30-50%,300%+,0.02580316093619958,2.5803160936199583,Low Risk
5003302,103302,2024-01-01,Thika,Machakos,32,Farmer,59600,5,199900,Asset Finance,215700,48,5000,3400,0.05704697986577181,1.079,5,0,0,59000,53400,44,0.85,0.708,8,1,0.962,Late,0,0.0185,Low,3.6191275167785233,0.14093959731543623,5600,0.09395973154362416,0.08389261744966443,3.3540268456375837,0-30%,0-30%,300%+,0.021167546141316357,2.1167546141316356,Low Risk
5049668,149668,2024-01-01,Nyeri,Other,27,Farmer,46300,2,96100,Agriculture,164200,12,15300,10900,0.23542116630669546,1.709,2,0,1,42400,40700,20,0.604,0.85,10,0,0.957,Current,0,0.0576,Low,3.5464362850971924,0.5658747300215983,1700,0.0367170626349892,0.3304535637149028,2.075593952483801,30-50%,50-70%,200-300%,0.04176782391864696,4.176782391864696,Low Risk
5049632,149632,2024-01-01,Kisumu,Nairobi,42,Salaried,59600,6,291300,School Fees,393600,3,150100,7700,0.12919463087248323,1.351,5,0,2,56500,44300,60,0.814,0.811,7,0,1.001,Late,0,0.0997,Low,6.604026845637584,2.6476510067114094,12200,0.20469798657718122,2.5184563758389262,4.8875838926174495,100%+,100%+,300%+,0.13173339806480433,13.173339806480433,Moderate Risk
5034395,134395,2024-01-01,Kisumu,Nairobi,32,Salaried,91500,3,292700,Business,722000,6,135500,5600,0.06120218579234973,2.467,6,0,2,88900,71000,25,0.817,0.962,6,1,0.921,Late,0,0.1432,Moderate,7.890710382513661,1.5420765027322405,17900,0.19562841530054645,1.4808743169398908,3.1989071038251367,100%+,100%+,300%+,0.1225894993613409,12.25894993613409,Moderate Risk
5000727,100727,2024-01-01,Nyeri,Nairobi,40,Salaried,67600,4,48100,Agriculture,322300,6,63300,6000,0.08875739644970414,6.701,4,0,1,84900,74400,36,0.842,0.991,2,0,0.893,Late,0,0.3079,High,4.767751479289941,1.0251479289940828,10500,0.15532544378698224,0.9363905325443787,0.7115384615384616,70-100%,100%+,0-100%,0.2913036812818534,29.130368128185342,Higher Risk
5020126,120126,2024-01-01,Nairobi CBD,Nakuru,29,Salaried,113200,3,484500,Business,722700,6,141100,5700,0.05035335689045936,1.492,4,0,0,128600,96100,33,0.588,0.786,9,0,0.984,Current,0,0.0734,Low,6.384275618374558,1.2968197879858658,32500,0.2871024734982332,1.2464664310954063,4.280035335689046,100%+,100%+,300%+,0.11034332258183512,11.034332258183511,Moderate Risk
5025992,125992,2024-01-01,Embu,Mombasa,27,Self-Employed,93400,17,248200,Agriculture,328800,6,62100,30000,0.32119914346895073,1.325,18,0,2,107500,72300,180,0.812,0.545,8,1,0.947,Current,0,0.0071,Low,3.5203426124197,0.9860813704496788,35200,0.37687366167023556,0.6648822269807281,2.657387580299786,50-70%,70-100%,200-300%,0.015697605735033707,1.5697605735033708,Low Risk
5019332,119332,2024-01-01,Westlands,Machakos,42,Casual,26600,3,54200,Development,64200,12,6100,2200,0.08270676691729323,1.185,2,0,4,26400,20400,32,0.635,0.584,2,0,0.838,Late,0,0.0195,Low,2.4135338345864663,0.31203007518796994,6000,0.22556390977443608,0.22932330827067668,2.037593984962406,0-30%,30-50%,200-300%,0.045121638681173824,4.512163868117383,Low Risk
5007708,107708,2024-01-01,Nyeri,Nakuru,29,Business Owner,94400,10,262500,Development,292200,12,28300,16500,0.17478813559322035,1.113,18,1,1,102500,95400,80,0.998,0.949,11,0,0.869,Late,0,0.0135,Low,3.0953389830508473,0.4745762711864407,7100,0.07521186440677965,0.2997881355932203,2.780720338983051,0-30%,30-50%,200-300%,0.01710695779557654,1.710695779557654,Low Risk
5019293,119293,2024-01-01,Embu,Nairobi,37,Casual,30900,7,140600,School Fees,140300,12,12700,4800,0.1553398058252427,0.998,7,0,1,28800,27900,65,0.974,0.718,9,1,0.945,Current,0,0.0374,Low,4.540453074433657,0.5663430420711975,900,0.02912621359223301,0.4110032362459547,4.550161812297735,30-50%,50-70%,300%+,0.01888980650623039,1.8889806506230389,Low Risk
5005805,105805,2024-01-01,Eldoret,Nairobi,34,Self-Employed,57800,4,240100,Business,242700,6,48500,15900,0.2750865051903114,1.011,5,0,0,59400,45100,47,0.743,0.905,6,0,0.875,Late,0,0.0307,Low,4.198961937716263,1.1141868512110726,14300,0.24740484429065743,0.8391003460207612,4.153979238754325,70-100%,100%+,300%+,0.04255422288410013,4.255422288410013,Low Risk
5014475,114475,2024-01-01,Kisumu,Meru,41,Self-Employed,39900,3,142200,Asset Finance,298700,60,5600,10900,0.2731829573934837,2.101,2,0,1,44600,43700,36,0.804,0.638,5,1,0.93,Current,0,0.0387,Low,7.486215538847118,0.41353383458646614,900,0.022556390977443608,0.14035087719298245,3.56390977443609,0-30%,30-50%,300%+,0.05923454101117547,5.923454101117547,Low Risk
5045853,145853,2024-01-01,Nakuru,Machakos,38,Self-Employed,61500,5,324700,School Fees,279400,12,24900,18100,0.2943089430894309,0.86,8,0,1,82400,78100,55,0.886,0.994,7,1,0.895,Late,0,0.0135,Low,4.543089430894309,0.6991869918699187,4300,0.06991869918699187,0.40487804878048783,5.279674796747967,30-50%,50-70%,300%+,0.02084144881269231,2.084144881269231,Low Risk
5033027,133027,2024-01-01,Embu,Nairobi,37,Business Owner,98200,4,118100,School Fees,542700,3,189100,32800,0.3340122199592668,4.595,6,0,0,103100,95900,33,0.898,0.98,7,1,0.949,Late,0,0.404,High,5.526476578411406,2.259674134419552,7200,0.07331975560081466,1.9256619144602851,1.2026476578411405,100%+,100%+,100-200%,0.41179286602780285,41.17928660278029,Higher Risk
5016713,116713,2024-01-01,Nairobi CBD,Machakos,51,Self-Employed,88200,6,313700,Emergency,819300,6,164700,16100,0.18253968253968253,2.612,4,0,0,103600,86100,56,0.67,0.966,5,2,0.946,Late,0,0.3359,High,9.289115646258503,2.049886621315193,17500,0.1984126984126984,1.8673469387755102,3.556689342403628,100%+,100%+,300%+,0.1590489494367899,15.90489494367899,Moderate Risk
5035979,135979,2024-01-01,Nakuru,Nairobi,38,Farmer,91400,8,500100,Development,524500,36,16400,31500,0.34463894967177244,1.049,9,0,0,112400,97300,91,1.0,0.947,2,1,0.858,Current,0,0.005,Low,5.738512035010941,0.524070021881838,15100,0.1652078774617068,0.17943107221006566,5.471553610503283,0-30%,50-70%,300%+,0.016605420695289707,1.6605420695289708,Low Risk
5022119,122119,2024-01-01,Thika,Nairobi,47,Farmer,43900,3,128400,Agriculture,263700,6,53200,14100,0.3211845102505695,2.054,8,0,1,44200,33900,30,0.915,0.466,20,0,1.007,Late,0,0.2637,High,6.006833712984054,1.5330296127562641,10300,0.23462414578587698,1.2118451025056947,2.924829157175399,100%+,100%+,200-300%,0.1255174317604728,12.551743176047282,Moderate Risk
5048751,148751,2024-01-01,Embu,Nairobi,54,Casual,12500,1,78100,Asset Finance,49500,36,1500,3600,0.288,0.634,0,0,0,15500,11900,12,0.992,0.521,8,1,0.972,Late,0,0.0685,Low,3.96,0.408,3600,0.288,0.12,6.248,0-30%,30-50%,300%+,0.060260884699455564,6.026088469945556,Low Risk
5027134,127134,2024-01-01,Kisumu,Kiambu,49,Salaried,64600,2,92100,Business,346900,36,11700,21900,0.33900928792569657,3.767,6,0,1,76900,68900,16,0.611,0.737,10,1,0.96,Late,0,0.1305,Moderate,5.369969040247678,0.5201238390092879,8000,0.1238390092879257,0.18111455108359134,1.4256965944272446,0-30%,50-70%,100-200%,0.11885563709275886,11.885563709275885,Moderate Risk
5031522,131522,2024-01-01,Embu,Other,41,Self-Employed,93100,11,192900,Emergency,583400,6,110100,17000,0.18259935553168635,3.024,17,0,3,82300,68900,92,0.99,0.706,103,2,0.296,Defaulted,1,0.1146,Moderate,6.266380236305048,1.3651987110633728,13400,0.1439312567132116,1.1825993555316863,2.071965628356606,100%+,100%+,200-300%,0.09258435945684039,9.258435945684038,Low Risk
5025442,125442,2024-01-01,Nakuru,Nakuru,29,Salaried,115500,10,325500,Development,611500,12,53800,29200,0.2528138528138528,1.879,14,0,2,153000,115300,82,0.646,0.689,1,1,0.888,Current,0,0.0258,Low,5.294372294372295,0.7186147186147186,37700,0.3264069264069264,0.4658008658008658,2.8181818181818183,30-50%,70-100%,200-300%,0.03193423950827941,3.193423950827941,Low Risk
5015271,115271,2024-01-01,Eldoret,Nairobi,41,Salaried,72600,11,305500,Development,338800,12,30700,3500,0.048209366391184574,1.109,17,1,4,75800,53300,126,0.658,0.622,3,1,0.911,Late,0,0.0113,Low,4.666666666666667,0.47107438016528924,22500,0.30991735537190085,0.4228650137741047,4.207988980716253,30-50%,30-50%,300%+,0.016695583888284415,1.6695583888284415,Low Risk
5004665,104665,2024-01-01,Thika,Other,41,Casual,19500,8,26300,Development,80000,12,8100,4300,0.2205128205128205,3.042,10,0,2,24200,20200,78,0.739,0.449,9,1,0.85,Late,0,0.0295,Low,4.102564102564102,0.6358974358974359,4000,0.20512820512820512,0.4153846153846154,1.3487179487179488,30-50%,50-70%,100-200%,0.04875610384397818,4.8756103843978185,Low Risk
5021018,121018,2024-01-01,Embu,Other,29,Business Owner,102500,3,344500,Agriculture,458300,18,30400,2700,0.026341463414634145,1.33,3,0,2,111700,89300,32,0.82,1.0,13,2,0.904,Late,0,0.0196,Low,4.471219512195122,0.3229268292682927,22400,0.21853658536585366,0.2965853658536585,3.3609756097560974,0-30%,30-50%,300%+,0.03313112059084654,3.313112059084654,Low Risk
5007969,107969,2024-01-01,Embu,Uasin Gishu,41,Self-Employed,99500,3,227600,School Fees,438300,3,166900,2000,0.020100502512562814,1.926,6,0,0,109000,88100,25,0.698,0.824,2,2,0.92,Current,0,0.1525,Moderate,4.405025125628141,1.6974874371859296,20900,0.2100502512562814,1.6773869346733667,2.2874371859296483,100%+,100%+,200-300%,0.1391545272744452,13.915452727444519,Moderate Risk
5017986,117986,2024-01-01,Thika,Kisumu,40,Self-Employed,64900,7,316000,School Fees,414300,12,39100,9000,0.1386748844375963,1.311,0,0,0,73100,64700,70,0.882,0.755,10,1,0.982,Late,0,0.0241,Low,6.3836671802773495,0.7411402157164869,8400,0.12942989214175654,0.6024653312788906,4.869029275808937,50-70%,70-100%,300%+,0.03215618337588267,3.215618337588267,Low Risk
5025866,125866,2024-01-01,Westlands,Kakamega,25,Salaried,47500,4,230600,Business,236500,36,7200,6100,0.12842105263157894,1.026,8,0,0,56200,39600,34,0.788,0.827,3,0,0.876,Late,0,0.0346,Low,4.978947368421053,0.28,16600,0.3494736842105263,0.15157894736842106,4.854736842105263,0-30%,0-30%,300%+,0.025882097431996886,2.5882097431996884,Low Risk
5020834,120834,2024-01-01,Embu,Nairobi,21,Business Owner,87300,6,238500,School Fees,560300,6,100200,30100,0.3447880870561283,2.349,14,0,1,90700,64600,56,0.834,0.602,4,2,0.891,Current,0,0.1253,Moderate,6.418098510882016,1.4925544100801833,26100,0.29896907216494845,1.147766323024055,2.731958762886598,100%+,100%+,200-300%,0.12696857669484043,12.696857669484043,Moderate Risk
5041308,141308,2024-01-01,Embu,Embu,47,Self-Employed,47000,1,210900,Agriculture,375200,12,34400,14500,0.30851063829787234,1.779,5,0,2,49400,37000,10,0.93,1.0,7,1,0.858,Late,0,0.1025,Moderate,7.982978723404256,1.0404255319148936,12400,0.26382978723404255,0.7319148936170212,4.487234042553191,70-100%,100%+,300%+,0.06444471390455248,6.444471390455248,Low Risk
5031849,131849,2024-01-01,Mombasa,Uasin Gishu,56,Salaried,45400,6,208000,Emergency,231800,3,92100,6400,0.14096916299559473,1.114,7,0,3,60100,49800,70,1.0,0.763,4,0,0.924,Current,0,0.113,Moderate,5.105726872246696,2.1696035242290748,10300,0.22687224669603523,2.0286343612334803,4.581497797356828,100%+,100%+,300%+,0.08154544977316336,8.154544977316336,Low Risk
5031951,131951,2024-01-01,Mombasa,Machakos,52,Self-Employed,28500,2,73600,Business,114000,12,10300,6000,0.21052631578947367,1.549,4,0,1,34300,27000,19,0.86,0.866,11,0,0.834,Late,0,0.0366,Low,4.0,0.5719298245614035,7300,0.256140350877193,0.36140350877192984,2.5824561403508772,30-50%,50-70%,200-300%,0.04253713900436183,4.253713900436183,Low Risk
5022612,122612,2024-01-01,Nakuru,Nairobi,38,Business Owner,104600,3,418000,Development,620800,12,57900,11200,0.10707456978967496,1.485,2,0,1,129900,112900,31,0.65,0.893,48,0,0.3,Defaulted,1,0.0485,Low,5.934990439770554,0.6606118546845124,17000,0.16252390057361377,0.5535372848948374,3.9961759082217974,50-70%,50-70%,300%+,0.049972450126999496,4.99724501269995,Low Risk
5028032,128032,2024-01-01,Embu,Embu,21,Business Owner,108500,3,330400,Agriculture,215000,6,41000,6000,0.055299539170506916,0.651,7,0,1,106200,102600,24,0.894,0.638,5,0,0.946,Late,0,0.0252,Low,1.9815668202764978,0.43317972350230416,3600,0.03317972350230415,0.3778801843317972,3.0451612903225804,30-50%,30-50%,300%+,0.03334392120296065,3.334392120296065,Low Risk
5002295,102295,2024-01-01,Nyeri,Nairobi,39,Salaried,51200,6,264600,Development,287200,12,27300,11900,0.232421875,1.085,7,0,1,47600,38600,61,0.865,1.0,23,2,0.933,Late,0,0.0166,Low,5.609375,0.765625,9000,0.17578125,0.533203125,5.16796875,50-70%,70-100%,300%+,0.02864421078520289,2.864421078520289,Low Risk
5014551,114551,2024-01-01,Nairobi CBD,Kakamega,26,Salaried,50900,8,198400,Agriculture,172700,6,30600,7700,0.1512770137524558,0.87,6,0,0,53400,38900,92,0.714,1.0,4,0,0.858,Late,0,0.0096,Low,3.392927308447937,0.7524557956777996,14500,0.28487229862475444,0.6011787819253438,3.8978388998035363,50-70%,70-100%,300%+,0.0186624288947867,1.8662428894786702,Low Risk
5020872,120872,2024-01-01,Nairobi CBD,Machakos,56,Self-Employed,37900,2,67900,Business,136200,24,6000,6200,0.16358839050131926,2.006,3,0,0,34500,31700,19,0.933,0.696,7,0,0.84,Current,0,0.0383,Low,3.5936675461741423,0.32189973614775724,2800,0.07387862796833773,0.158311345646438,1.79155672823219,0-30%,30-50%,100-200%,0.039181935016429796,3.9181935016429796,Low Risk
5047823,147823,2024-01-02,Westlands,Meru,49,Casual,25900,4,2000,Development,158400,12,15500,4800,0.18532818532818532,79.2,2,0,0,32800,28700,33,0.713,0.889,82,6,0.738,Defaulted,1,1.0,Very High,6.115830115830116,0.7837837837837838,4100,0.1583011583011583,0.5984555984555985,0.07722007722007722,50-70%,70-100%,0-100%,0.9954984501115102,99.54984501115102,Higher Risk
5027045,127045,2024-01-02,Thika,Nairobi,33,Business Owner,87100,2,282000,Agriculture,190400,12,17000,5500,0.06314580941446613,0.675,4,0,1,92800,63500,24,0.834,0.633,4,0,0.895,Late,0,0.0212,Low,2.185993111366246,0.25832376578645233,29300,0.33639494833524686,0.19517795637198623,3.2376578645235363,0-30%,0-30%,300%+,0.03611889762496904,3.611889762496904,Low Risk
5020228,120228,2024-01-02,Eldoret,Nakuru,42,Salaried,89200,2,334000,Asset Finance,448600,36,14100,5900,0.06614349775784753,1.343,4,0,0,109500,76700,17,0.782,0.735,4,0,0.998,Current,0,0.0194,Low,5.0291479820627805,0.2242152466367713,32800,0.36771300448430494,0.15807174887892378,3.7443946188340806,0-30%,0-30%,300%+,0.03902326897884473,3.902326897884473,Low Risk
5006557,106557,2024-01-02,Nakuru,Nairobi,25,Self-Employed,82000,14,43300,Business,496600,36,15600,14800,0.18048780487804877,11.469,24,0,0,75500,69500,162,0.849,0.951,1,0,0.928,Late,0,0.1355,Moderate,6.056097560975609,0.37073170731707317,6000,0.07317073170731707,0.1902439024390244,0.5280487804878049,0-30%,30-50%,0-100%,0.22942286541305093,22.942286541305094,Higher Risk
5010218,110218,2024-01-02,Meru,Nairobi,57,Salaried,48400,2,114600,Emergency,195100,12,19600,4500,0.09297520661157024,1.702,3,0,0,62400,51000,17,0.828,0.875,2,0,1.013,Late,0,0.0491,Low,4.0309917355371905,0.49793388429752067,11400,0.23553719008264462,0.4049586776859504,2.3677685950413223,30-50%,30-50%,200-300%,0.043469700943412924,4.346970094341293,Low Risk
5025635,125635,2024-01-02,Nakuru,Nyeri,42,Self-Employed,46500,4,200000,Business,345500,24,15200,5200,0.11182795698924732,1.728,3,1,0,57400,53500,36,0.963,0.749,1,2,0.913,Current,0,0.038,Low,7.43010752688172,0.43870967741935485,3900,0.08387096774193549,0.32688172043010755,4.301075268817204,30-50%,30-50%,300%+,0.04836587904210765,4.836587904210765,Low Risk
5041575,141575,2024-01-02,Embu,Kisumu,42,Salaried,95100,3,157300,Development,460800,36,14700,7100,0.07465825446898001,2.929,6,0,1,127800,121600,25,0.758,0.499,5,0,0.866,Current,0,0.036,Low,4.8454258675078865,0.22923238696109358,6200,0.06519453207150368,0.15457413249211358,1.6540483701366981,0-30%,0-30%,100-200%,0.06985027953715481,6.9850279537154805,Low Risk
5019356,119356,2024-01-02,Mombasa,Mombasa,46,Casual,60700,8,199500,School Fees,249300,6,44000,4000,0.06589785831960461,1.25,8,0,3,78900,66800,77,0.993,0.764,1,2,0.985,Late,0,0.0438,Low,4.107084019769357,0.7907742998352554,12100,0.19934102141680396,0.7248764415156508,3.28665568369028,70-100%,70-100%,300%+,0.033872038654583964,3.3872038654583965,Low Risk
5000491,100491,2024-01-02,Nyeri,Nairobi,49,Self-Employed,93100,2,125500,Business,298200,36,9200,11900,0.12781954887218044,2.376,3,0,0,112100,74900,20,0.871,0.769,3,2,0.962,Late,0,0.0694,Low,3.2030075187969924,0.22663802363050484,37200,0.3995703544575725,0.09881847475832438,1.3480128893662728,0-30%,0-30%,100-200%,0.04690160274789011,4.690160274789011,Low Risk
5004643,104643,2024-01-02,Meru,Kisumu,36,Casual,34600,12,171800,Business,169100,24,8300,2700,0.07803468208092486,0.984,10,0,0,45200,29400,109,1.0,0.714,4,0,0.978,Current,0,0.0058,Low,4.88728323699422,0.3179190751445087,15800,0.45664739884393063,0.2398843930635838,4.965317919075145,0-30%,30-50%,300%+,0.01047083177731323,1.047083177731323,Low Risk
5024483,124483,2024-01-02,Embu,Kisumu,33,Salaried,93400,5,197900,Emergency,252400,3,96700,10200,0.10920770877944326,1.275,2,1,0,125100,84600,57,0.912,0.566,56,4,0.623,Defaulted,1,0.0813,Low,2.702355460385439,1.1445396145610278,40500,0.4336188436830835,1.0353319057815846,2.1188436830835116,100%+,100%+,200-300%,0.06668372909814567,6.6683729098145665,Low Risk
5041642,141642,2024-01-02,Nairobi CBD,Kiambu,43,Self-Employed,24600,6,107500,Agriculture,124700,18,7600,1800,0.07317073170731707,1.16,6,0,0,23900,22600,52,1.0,0.909,0,0,0.899,Current,0,0.0139,Low,5.069105691056911,0.3821138211382114,1300,0.052845528455284556,0.3089430894308943,4.369918699186992,30-50%,30-50%,300%+,0.018849827333710153,1.8849827333710152,Low Risk
5048426,148426,2024-01-02,Nyeri,Machakos,45,Self-Employed,114800,4,144200,Business,810200,6,145100,4300,0.037456445993031356,5.619,5,0,1,112600,107600,40,0.81,1.0,9,1,0.928,Late,0,0.3432,High,7.057491289198606,1.3013937282229966,5000,0.04355400696864112,1.2639372822299653,1.2560975609756098,100%+,100%+,100-200%,0.35641923456154545,35.641923456154544,Higher Risk
